iter	TotalF1	MultiClass
626	0.975325547	0.1417672841
627	0.9755482756	0.1416272758
628	0.9755395283	0.1414013683
629	0.9753167092	0.1411071323
630	0.9755395283	0.1408721201
631	0.9755395283	0.140650818
632	0.9755395283	0.1403498067
633	0.9753167092	0.1401596759
634	0.9755395283	0.1398605018
635	0.9755395283	0.1397234698
636	0.9755395283	0.1394979053
637	0.9759849135	0.1393520204
638	0.9766523612	0.1390441037
639	0.9768746764	0.138883816
640	0.9764299624	0.1386881177
641	0.9766523612	0.1386100743
642	0.9768746764	0.1382818046
643	0.9773190569	0.1380457921
644	0.9775411225	0.1378732739
645	0.9770969082	0.137620134
646	0.9773190569	0.1373384004
647	0.9775331576	0.1372474997
648	0.9777552289	0.1371082951
649	0.9781991228	0.1368288987
650	0.9781991228	0.1366135888
651	0.9784209458	0.1364949527
652	0.9784209458	0.1362094125
653	0.9786426864	0.1361280111
654	0.9781991228	0.1359814388
655	0.9779850053	0.1358521571
656	0.9781991228	0.1356382291
657	0.9793001315	0.1353144574
658	0.9792928268	0.1350835166
659	0.9795144135	0.1348682851
660	0.9795144135	0.1346332193
661	0.9793001315	0.1345281713
662	0.9797430489	0.1343753916
663	0.9797501593	0.1342298067
664	0.9797501593	0.1340665675
665	0.9797430489	0.1338282998
666	0.9797430489	0.1337067165
667	0.9795288282	0.1335551666
668	0.9797501593	0.1334347587
669	0.979971409	0.1332809514
670	0.979971409	0.1330157757
671	0.979971409	0.1329910979
672	0.979971409	0.1328875923
673	0.979971409	0.1326936789
674	0.979964385	0.1324805969
675	0.9801856397	0.1323244115
676	0.9806211202	0.1319533024
677	0.9810632335	0.1316173208
678	0.9812841688	0.1314362755
679	0.9810632335	0.1313103452
680	0.9810698475	0.1311892748
681	0.9815050234	0.1310354409
682	0.9812972077	0.1308435673
683	0.9810764427	0.1306581302
684	0.9819527655	0.1303584857
685	0.981511467	0.1301998787
686	0.9817321563	0.1300715297
687	0.9817384971	0.1299410336
688	0.9817384971	0.1298545808
689	0.9819590219	0.1295930373
690	0.9819590219	0.1293761966
691	0.9823937442	0.1292176366
692	0.9823937442	0.1290333685
693	0.9830546157	0.1286534327
694	0.9832747477	0.1284689308
695	0.9834948008	0.1282913221
696	0.9837091699	0.1281141199
697	0.9837147752	0.1279459853
698	0.9841490478	0.1277946796
699	0.9839291482	0.1275742697
700	0.9841490478	0.1272554362
701	0.9848082764	0.1269433355
702	0.9845886118	0.1267024896
703	0.9848082764	0.1263990323
704	0.9845886118	0.1262639816
705	0.9845886118	0.1261141564
706	0.9848082764	0.1259582912
707	0.9848082764	0.1258573346
708	0.985027863	0.1257557025
709	0.985027863	0.1255649865
710	0.985027863	0.1253611513
711	0.985027863	0.1252991582
712	0.985027863	0.1250014301
713	0.985027863	0.1247886488
714	0.9852473717	0.1246706267
715	0.985027863	0.1244230404
716	0.985027863	0.1241508372
717	0.985027863	0.1239336753
718	0.985027863	0.1237685364
719	0.9852473717	0.1235622191
720	0.9852473717	0.1235179071
721	0.9854668028	0.1232115857
722	0.9856861563	0.1230501007
723	0.9856861563	0.1228344768
724	0.9861246314	0.1226879628
725	0.9859054324	0.1226217821
726	0.9861246314	0.1223622054
727	0.9861246314	0.1222987558
728	0.9861246314	0.1221636861
729	0.9861246314	0.1219280735
730	0.9859054324	0.1218429358
731	0.9863437533	0.1216324621
732	0.9863437533	0.1213830037
733	0.9867817667	0.1211403004
734	0.9870006584	0.1209911444
735	0.9870006584	0.120636402
736	0.9870006584	0.1204286697
737	0.9867817667	0.1203001925
738	0.9867817667	0.1202600396
739	0.9870006584	0.120102273
740	0.9872194738	0.1199969761
741	0.987656876	0.1197110804
742	0.9878754631	0.1196005829
743	0.9878754631	0.1194594945
744	0.9878754631	0.1192858084
745	0.987656876	0.1192015755
746	0.9878754631	0.1188699866
747	0.9885307706	0.1186531102
748	0.9883124103	0.1184535645
749	0.9880939745	0.1183700024
750	0.9885307706	0.1182702883
751	0.9883124103	0.1181084615
752	0.9887490557	0.117922947
753	0.9891854007	0.1176366078
754	0.9891854007	0.1175915186
755	0.9885307706	0.1173568599
756	0.9887490557	0.117248448
757	0.9889672657	0.117151998
758	0.9891854007	0.1169560121
759	0.9889672657	0.1168700848
760	0.9889672657	0.1166452941
761	0.9887490557	0.1165398575
762	0.9889672657	0.1163913497
763	0.9894034609	0.116213631
764	0.9894034609	0.1161350181
765	0.9891854007	0.1158926814
766	0.9894034609	0.1157740578
767	0.9891854007	0.115586945
768	0.9896214464	0.1153919224
769	0.9900571942	0.1151745146
770	0.9900571942	0.1150012422
771	0.9900571942	0.1148794497
772	0.9902749568	0.1147709159
773	0.9900571942	0.114675911
774	0.9900571942	0.1143546705
775	0.9900571942	0.1142421579
776	0.9900571942	0.1141633268
777	0.9900571942	0.114055799
778	0.9900571942	0.1138592418
779	0.9900571942	0.113710294
780	0.9900571942	0.1136014453
781	0.9900571942	0.1133412321
782	0.9902749568	0.1131757881
783	0.99071026	0.1130021136
784	0.99071026	0.1128076021
785	0.9904926453	0.1126988823
786	0.99071026	0.1126151071
787	0.9909278009	0.1124674701
